web-scraper-order,web-scraper-start-url,company_link,company_link-href,brand_link,brand_link-href,company,company-href,name,rating-src,brand,brand-href
"1594215382-1677","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","General Mills","https://guide.ethical.org.au/company/?company=291","General Mills","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594214291-1530","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","HGL","https://guide.ethical.org.au/company/?company=5321","HGL","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594213032-1369","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Kao Brands","https://guide.ethical.org.au/company/?company=4200","Kao Brands","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594208222-714","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Quality Food World","https://guide.ethical.org.au/company/?company=266","Quality Food World","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594214860-1604","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Guthy-Renker","https://guide.ethical.org.au/company/?company=1251","Guthy-Renker","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594206951-537","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Sheridan Australia","https://guide.ethical.org.au/company/?company=2283","Sheridan Australia","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594208550-757","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Premier Investments","https://guide.ethical.org.au/company/?company=531","Premier Investments","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594208090-696","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Rank Group","https://guide.ethical.org.au/company/?company=2551","Rank Group","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594212272-1265","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","LG Group","https://guide.ethical.org.au/company/?company=793","LG Group","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594205370-322","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Too Faced Cosmetics","https://guide.ethical.org.au/company/?company=2299","Too Faced Cosmetics","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594218300-2076","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","CDB Goldair Australia","https://guide.ethical.org.au/company/?company=5839","CDB Goldair Australia","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594215752-1729","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Franklins","https://guide.ethical.org.au/company/?company=275","Franklins","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594208389-736","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Proteco","https://guide.ethical.org.au/company/?company=2050","Proteco","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594220319-2363","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Asko Australia","https://guide.ethical.org.au/company/?company=724","Asko Australia","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594209633-914","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Oates","https://guide.ethical.org.au/company/?company=233","Oates","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594217468-1962","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Crown & Andrews","https://guide.ethical.org.au/company/?company=4756","Crown & Andrews","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594209943-959","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Nippecraft","https://guide.ethical.org.au/company/?company=1239","Nippecraft","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594220403-2375","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Asahi Beverages New Zealand","https://guide.ethical.org.au/company/?company=1238","Asahi Beverages New Zealand","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594204335-179","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Who Gives A Crap","https://guide.ethical.org.au/company/?company=2041","Who Gives A Crap","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594209687-922","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Nvidia","https://guide.ethical.org.au/company/?company=5932","Nvidia","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594214381-1542","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Henry Jones Foods","https://guide.ethical.org.au/company/?company=323","Henry Jones Foods","https://guide.ethical.org.au/images/icons-small/icon_ltgreen.png","",""
"1594204131-152","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","WordPress.com","https://guide.ethical.org.au/company/?company=2202","WordPress.com","https://guide.ethical.org.au/images/icons-small/icon_orange.png","",""
"1594218617-2119","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Camerons","https://guide.ethical.org.au/company/?company=4333","Camerons","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594219939-2308","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Bardinet","https://guide.ethical.org.au/company/?company=4431","Bardinet","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594217239-1931","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","De Lorenzo","https://guide.ethical.org.au/company/?company=5060","De Lorenzo","https://guide.ethical.org.au/images/icons-small/icon_green.png","",""
"1594220951-2453","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Alexander McQueen","https://guide.ethical.org.au/company/?company=5362","Alexander McQueen","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594210530-1040","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","MPM Products","https://guide.ethical.org.au/company/?company=2001","MPM Products","https://guide.ethical.org.au/images/icons-small/icon_grey.png","",""
"1594204834-247","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Versace","https://guide.ethical.org.au/company/?company=4790","Versace","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
"1594220514-2391","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Archer Daniels Midland","https://guide.ethical.org.au/company/?company=2250","Archer Daniels Midland","https://guide.ethical.org.au/images/icons-small/icon_yellow.png","",""
"1594219802-2288","https://guide.ethical.org.au/guide/browse/brands/","company","https://guide.ethical.org.au/guide/browse/companies/","","","Bayer Australia","https://guide.ethical.org.au/company/?company=93","Bayer Australia","https://guide.ethical.org.au/images/icons-small/icon_red.png","",""
