web-scraper-order,web-scraper-start-url,directory_link,directory_link-href,company,rating
"1593892451-5932","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Hero-Hugo","http://www.corporatecritic.org/companiesatoz/Hero.aspx","HRG Group Inc.","13"
"1593892379-4995","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","TPG-Tyrre","http://www.corporatecritic.org/companiesatoz/TPG.aspx","Two Tomorrows Group Ltd","14"
"1593892440-5783","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","K-Kosni","http://www.corporatecritic.org/companiesatoz/K.aspx","Karo Pharma","???"
"1593892497-6660","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Bellw-BMI","http://www.corporatecritic.org/companiesatoz/Bellw.aspx","BMI","14"
"1593892478-6380","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Delta-DS Sm","http://www.corporatecritic.org/companiesatoz/Delta.aspx","Dragonfly Foods","15"
"1593892381-4998","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The W-TP-Li","http://www.corporatecritic.org/companiesatoz/The%20W.aspx","The Walt Disney Company","6"
"1593892506-6797","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Agnat-Amstr","http://www.corporatecritic.org/companiesatoz/Agnat.aspx","Amshold Securities Plc","14"
"1593892379-4967","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","TPG-Tyrre","http://www.corporatecritic.org/companiesatoz/TPG.aspx","TPG","(13.5)"
"1593892474-6323","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","Esprit Holdings Ltd","12.5"
"1593892487-6489","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Caurn-Cloth","http://www.corporatecritic.org/companiesatoz/Caurn.aspx","Cheung Kong (Holdings) Ltd","14"
"1593892492-6569","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Briti-BuzzF","http://www.corporatecritic.org/companiesatoz/Briti.aspx","Budweiser Budvar National Corp","14"
"1593892474-6296","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","Elna International Corp","14"
"1593892487-6500","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Caurn-Cloth","http://www.corporatecritic.org/companiesatoz/Caurn.aspx","Church & Dwight Co Inc","7"
"1593892437-5773","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","KPMG -Kyoce","http://www.corporatecritic.org/companiesatoz/KPMG%20.aspx","Kuyichi BV","14"
"1593892390-5133","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Specs-Super","http://www.corporatecritic.org/companiesatoz/Specs.aspx","Standard Life Aberdeen PLC","???"
"1593892499-6664","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","B-Bella","http://www.corporatecritic.org/companiesatoz/B.aspx","Bacardi & Company Limited","13"
"1593892480-6389","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","D-Deloi","http://www.corporatecritic.org/companiesatoz/D.aspx","D J Squire & Co. Ltd","6"
"1593892390-5139","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Specs-Super","http://www.corporatecritic.org/companiesatoz/Specs.aspx","Start Licensing","???"
"1593892483-6426","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Cream-Cybex","http://www.corporatecritic.org/companiesatoz/Cream.aspx","Crediton Dairies","???"
"1593892442-5837","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","J","http://www.corporatecritic.org/companiesatoz/J.aspx","JH Moore & Son (Rickmansworth) Ltd","14"
"1593892469-6174","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Europ-Exxon","http://www.corporatecritic.org/companiesatoz/Europ.aspx","Everton Football Club","14"
"1593892453-5946","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","H-Herba","http://www.corporatecritic.org/companiesatoz/H.aspx","Hammerson PLC","13.5"
"1593892364-4820","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Y","http://www.corporatecritic.org/companiesatoz/Y.aspx","Yorkshire Hemp Limited","14"
"1593892440-5798","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","K-Kosni","http://www.corporatecritic.org/companiesatoz/K.aspx","Kit & Kin Ltd","???"
"1593892455-5991","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Group-Guy W","http://www.corporatecritic.org/companiesatoz/Group.aspx","Guat Shoes","14"
"1593892368-4836","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Whitt-Wynns","http://www.corporatecritic.org/companiesatoz/Whitt.aspx","William Sinclair & Sons (Stationers) Ltd","14"
"1593892424-5583","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Mio T-Munic","http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx","Mondelez International","2"
"1593892397-5256","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","S-Scora","http://www.corporatecritic.org/companiesatoz/S.aspx","Sanpower Group","14"
"1593892390-5126","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Specs-Super","http://www.corporatecritic.org/companiesatoz/Specs.aspx","Spring Meadow Holdings Ltd","14"
"1593892474-6319","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","E","http://www.corporatecritic.org/companiesatoz/E.aspx","Equinor ASA","(7.5)"
"1593892430-5695","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Londo-Lyrec","http://www.corporatecritic.org/companiesatoz/Londo.aspx","Lush Cosmetics Ltd","12"
"1593892492-6567","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Briti-BuzzF","http://www.corporatecritic.org/companiesatoz/Briti.aspx","Bryncir Products Ltd","14"
"1593892370-4866","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","W-Whitb","http://www.corporatecritic.org/companiesatoz/W.aspx","Warburtons 1876 Limited","10.5"
"1593892419-5551","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","N-Nikon","http://www.corporatecritic.org/companiesatoz/N.aspx","Nestlé SA","0.5"
"1593892419-5552","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","N-Nikon","http://www.corporatecritic.org/companiesatoz/N.aspx","Netflix","10"
"1593892370-4879","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","W-Whitb","http://www.corporatecritic.org/companiesatoz/W.aspx","Wellspring Advisors LLC","14"
"1593892362-4801","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Z","http://www.corporatecritic.org/companiesatoz/Z.aspx","ZOOLOGICAL SOCIETY OF LONDON","12.5"
"1593892478-6383","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Delta-DS Sm","http://www.corporatecritic.org/companiesatoz/Delta.aspx","Draper's Organic Cotton","14"
"1593892499-6688","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","B-Bella","http://www.corporatecritic.org/companiesatoz/B.aspx","Baycliffe Limited","11.5"
"1593892440-5786","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","K-Kosni","http://www.corporatecritic.org/companiesatoz/K.aspx","KCOM Group PLC","14"
"1593892487-6502","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Caurn-Cloth","http://www.corporatecritic.org/companiesatoz/Caurn.aspx","CIME  S.C.A.","???"
"1593892415-5473","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","O-Overs","http://www.corporatecritic.org/companiesatoz/O.aspx","Oaxaca Ltd.","???"
"1593892455-5995","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Group-Guy W","http://www.corporatecritic.org/companiesatoz/Group.aspx","GUS plc","14"
"1593892506-6773","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","Agnat-Amstr","http://www.corporatecritic.org/companiesatoz/Agnat.aspx","Allchurches Trust Ltd","7"
"1593892447-5865","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","I-Islan","http://www.corporatecritic.org/companiesatoz/I.aspx","Independent Service Engineering Limited","14"
"1593892384-5040","http://www.corporatecritic.org/companiesatoz/AtoZ.aspx","The C-The T","http://www.corporatecritic.org/companiesatoz/The%20C.aspx","The Coconut Collaborative","12.5"
