web-scraper-order,web-scraper-start-url,category_link,category_link-href,company,rating
"1593950023-860","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Kirrin Finch","Rated : Great"
"1593950256-3466","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Reebok","Rated : Good"
"1593950054-1504","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Sportsgirl","Rated : Not good enough"
"1593950318-4437","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","FarmRio","Rated : Not good enough"
"1593950226-3367","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Public School","Rated : Not good enough"
"1593950398-5300","https://directory.goodonyou.eco/","Activewear162","https://directory.goodonyou.eco/categories/activewear","Famous Footwear","null"
"1593950287-3802","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Elizabeth Suzann","Rated : Good"
"1593950349-4714","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Eastpak","Rated : It's a start"
"1593950318-4292","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Lauren","Rated : Not Good Enough"
"1593950136-2414","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","La Vie en Rose","Rated : We avoid"
"1593950256-3451","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","RÆBURN","Rated : Good"
"1593950349-4617","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","Ayten Gasson","Rated : Good"
"1593950136-2316","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Charlotte Russe","null"
"1593950182-2602","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Fair Indigo","Rated : Good"
"1593950349-4464","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","SKFK","Rated : Great"
"1593950256-3684","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","American Eagle","Rated : Not Good Enough"
"1593950380-5061","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","P. J. Salvage","Rated : Good"
"1593950256-3502","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Laura Siegel Collection","Rated : Good"
"1593950023-942","https://directory.goodonyou.eco/","Accessories585","https://directory.goodonyou.eco/categories/accessories","Maggie Marilyn","Rated : Good"
"1593950226-3050","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","tonlé","Rated : Great"
"1593950318-4335","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Grana","Rated : Not good enough"
"1593950349-4512","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","One Vintage","Rated : Good"
"1593950287-4060","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Gestuz","Rated : Not good enough"
"1593950256-3673","https://directory.goodonyou.eco/","Sweaters & Knitwear620","https://directory.goodonyou.eco/categories/knitwear","Speedo","Rated : Not good enough"
"1593950287-3926","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Bjorn Borg","Rated : It's a start"
"1593950380-4863","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Kalaurie","Rated : Great"
"1593950226-3214","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Bjorn Borg","Rated : It's a start"
"1593950084-1875","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","Helly Hansen","Rated : Not good enough"
"1593950287-4046","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","AMUR","Rated : Not good enough"
"1593950182-2701","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","prAna","Rated : It's a start"
"1593950182-2718","https://directory.goodonyou.eco/","Basics & Intimates575","https://directory.goodonyou.eco/categories/basics","Uterqüe","Rated : It's a start"
"1593950287-4078","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","For Love and Lemons","Rated : Not good enough"
"1593950113-2127","https://directory.goodonyou.eco/","Maternity44","https://directory.goodonyou.eco/categories/maternity","La Redoute","Rated : Not good enough"
"1593950380-5035","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Zilver","Rated : Good"
"1593950226-3284","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","QWSTION","Rated : It's a start"
"1593950380-5142","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Volcom","Rated : It's a start"
"1593950136-2427","https://directory.goodonyou.eco/","Swimwear277","https://directory.goodonyou.eco/categories/swimwear","Ann Summers","Rated : We avoid"
"1593950287-3852","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","EllA Fashion","Rated : Good"
"1593950084-1799","https://directory.goodonyou.eco/","Shoes421","https://directory.goodonyou.eco/categories/shoes","FatFace","Rated : Not good enough"
"1593950318-4329","https://directory.goodonyou.eco/","Denim403","https://directory.goodonyou.eco/categories/denim","Charlotte Russe","null"
"1593950226-3044","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Natalie Perry","Rated : Good"
"1593950380-5058","https://directory.goodonyou.eco/","Tops887","https://directory.goodonyou.eco/categories/tops","Kotn","Rated : Good"
"1593950349-4756","https://directory.goodonyou.eco/","Bottoms749","https://directory.goodonyou.eco/categories/bottoms","À La Garçonne","Rated : It's a start"
"1593950226-3283","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Alpha60","Rated : It's a start"
"1593950054-1482","https://directory.goodonyou.eco/","Bags378","https://directory.goodonyou.eco/categories/bags","Katies","Rated : Not good enough"
"1593950113-2125","https://directory.goodonyou.eco/","Maternity44","https://directory.goodonyou.eco/categories/maternity","Summersalt","Rated : Not good enough"
"1593950226-3300","https://directory.goodonyou.eco/","Outerwear641","https://directory.goodonyou.eco/categories/outerwear","Bassike","Rated : It's a start"
"1593950287-3840","https://directory.goodonyou.eco/","Dresses & Playsuits614","https://directory.goodonyou.eco/categories/dresses","Eileen Fisher","Rated : Good"
