,company,rating,sd_rating
346,Brembo,EE-,50
347,Ahold Delhaize,EE-,50
348,Poste Italiane,EE-,50
349,UBS Group,E+,37
350,Bayer,EE-,50
351,Mediobanca,EE-,50
352,Paddy Power Betfair,E,25
353,Next,EE-,50
354,Kingfisher,EE+,75
355,ITV,EE,62
356,Fresnillo,E+,37
357,Old Mutual,EE-,50
358,London Stock Exchange Group,EEE-,87
359,Land Securities Group,EE+,75
360,Anglo American,E,25
361,Wolseley,EE,62
362,International Consolidated Airlines Group,EE,62
363,Smith & Nephew,EE,62
364,Centrica,EE-,50
365,Rolls-Royce Holdings,EE,62
366,Experian,EE+,75
367,Tesco,EE,62
368,Legal & General Group,EE,62
369,RELX,EE,62
370,Aviva,EE,62
371,BAE Systems,EE,62
372,SSE,EE,62
373,Sky,EE-,50
374,CRH,Pending,-1
375,BHP Billiton,E,25
376,Glencore,E-,12
377,WPP,EE+,75
378,Compass Group,EE-,50
379,Associated British Foods,E,25
380,Rio Tinto,E,25
381,Prudential,EE-,50
382,Imperial Brands,E+,37
383,National Grid,E+,37
384,Shire,EE,62
385,Unilever,EE-,50
386,BT Group,EE,62
387,Diageo,EE-,50
388,Reckitt Benckiser Group,EE,62
389,AstraZeneca,E+,37
390,Vodafone Group,EEE-,87
391,BP,EE-,50
392,GlaxoSmithKline,E,25
393,British American Tobacco,Pending,-1
394,Royal Dutch Shell,EE-,50
395,Standard Chartered,Pending,-1
396,Banca Ifis,E,25
397,Banca Carige,E+,37
398,Banca Generali,EE-,50
399,Klepierre,E+,37
400,HSBC Holdings,EE,62
401,UnipolSai,EE,62
402,Ontex Group,EE,62
403,Erste Group Bank,E,25
404,National Bank of Greece,E,25
405,Lloyds Banking Group,E+,37
406,Galapagos,E,25
407,Sodexo,E,25
408,Credito Emiliano,E-,12
409,Banca Intermobiliare,E,25
410,Banco Desio Brianza,E,25
411,Credito Valtellinese,EE-,50
412,ProSiebenSat.1,E,25
413,Nokia,EE,62
414,Swiss Life,EE,62
415,Azimut Holding,E+,37
416,Banca MPS,EE,62
417,Nordea Bank,EE+,75
418,Banca Profilo,E+,37
419,Royal Bank of Scotland,E-,12
420,Banca Finnat,E,25
421,Banca Popolare Emilia Romagna,EE-,50
422,ING Group,E+,37
423,FinecoBank,EE-,50
424,Banca Popolare di Sondrio,EE-,50
425,BBVA,EE,62
426,Peugeot,E+,37
427,Daimler,E+,37
428,Banco Santander,E+,37
429,Deutsche Bank,E-,12
430,Prysmian,EE,62
431,Telecom Italia,Suspended,-1
432,Barclays Plc,E,25
433,Poste Italiane,EE-,50
434,Essilor Intl.,EE,62
435,Volkswagen,E-,12
436,Luxottica,E+,37
437,UBS Group,Suspended,-1
438,Ferrari,E,25
439,UnipolSai,EE-,50
440,Volkswagen,Pending,-1
441,Deutsche Bank,Pending,-1
442,Daimler,Pending,-1
443,Henkel,E,25
444,HeidelbergCement,E,25
445,Beiersdorf,E,25
446,ThyssenKrupp,E+,37
447,Fresenius SE & Co.,E+,37
448,Fresenius Medical Care,E+,37
449,Continental,E+,37
450,Commerzbank,E+,37
451,Vonovia,EE-,50
452,Siemens,EE-,50
453,K+S,EE-,50
454,RWE,EE-,50
455,Merck,EE-,50
456,Deutsche Telekom,EE-,50
457,Deutsche Boerse,EE-,50
458,BMW,EE-,50
459,Bayer,EE-,50
460,SAP,EE,62
461,Munich Re,EE,62
462,Linde,EE,62
463,Infineon Technologies,EE,62
464,E.ON,EE,62
465,Deutsche Lufthansa,EE,62
466,Deutsche Post,EE,62
467,BASF,EE,62
468,Adidas,EE,62
469,Allianz,EE,62
470,Campari,E+,37
471,Pirelli & C.,Removed because Delisted,-1
472,Intesa San Paolo,EE,62
473,Vivendi,E+,37
474,Telecom Italia,E+,37
475,Saipem,EE-,50
476,Banca MPS,EE-,50
477,Unipol Gruppo Finanziario,EE,62
478,LafargeHolcim,E+,37
479,Ansaldo STS,E+,37
480,Telecom Italia,EE-,50
481,Luxottica,EE-,50
482,UnipolSai,E+,37
483,Umicore,EE+,75
484,UCB,E+,37
485,Telenet Group,E,25
486,KBC Group,E+,37
487,Groupe Bruxelles Lambert,E,25
488,Elia Group,EE,62
489,Delta Lloyd,EE+,75
490,Delhaize Group,PENDING,-1
491,D'Ieteren,E,25
492,Colruyt,E,25
493,Cofinimmo,EE+,75
494,Bpost,EE,62
495,Proximus,EE+,75
496,Bekaert,EE,62
497,Befimmo,EE-,50
498,Ageas,E,25
499,Ackermans & van Haaren,E+,37
500,AB Inbev,E,25
501,Pirelli & C.,EE,62
502,Zurich Insurance Group,EE,62
503,Vivendi,EE-,50
504,VINCI,EE-,50
505,Veolia Environnement,EE,62
506,Valeo,EE,62
507,Unibail-Rodamco,EEE-,87
508,UBS Group,EE-,50
509,Transocean,E-,12
510,Total,EE-,50
511,TechnipFMC,EE,62
512,Syngenta,EE-,50
513,Swisscom,E+,37
514,Swiss Re,EEE-,87
515,Swatch,E,25
516,Solvay,E+,37
517,Societe Generale,EE,62
518,SGS,E+,37
519,Schneider Electric,EE,62
520,Sanofi,EE+,75
521,Saint Gobain,EE,62
522,Safran,E+,37
523,Roche Holding,E,25
524,Richemont,E,25
525,Renault,E+,37
526,Publicis Groupe,EE-,50
527,Pernod Ricard,E+,37
528,Orange,E-,12
529,Novartis,EE-,50
530,Nestlé,EE-,50
531,Michelin,EE,62
532,LVMH,E,25
533,Legrand,EE-,50
534,Lafarge,E+,37
535,L'Oreal,E,25
536,Kering,E,25
537,Julius Baer Gruppe,EE-,50
538,Holcim,EE-,50
539,Givaudan,EE-,50
540,Gemalto,EE,62
541,Geberit,EE+,75
542,Engie,E+,37
543,Essilor Intl.,EE,62
544,Electricité De France (EDF),E+,37
545,Danone,EE,62
546,Credit Suisse,EE-,50
547,Credit Agricole,E,25
548,Carrefour,EE-,50
549,Cap Gemini,EEE-,87
550,Bouygues,EE-,50
551,BNP Paribas,EE+,75
552,AXA,EE,62
553,ArcelorMittal,E+,37
554,Alstom,E+,37
555,Alcatel-Lucent,EE,62
556,Airbus Group,EE-,50
557,Air Liquide,EE+,75
558,Adecco Group,EEE-,87
559,Actelion,E+,37
560,Accor,EE-,50
561,ABB,EE+,75
562,Gtech,Removed,-1
563,Mediobanca,E+,37
564,Moncler,E,25
565,Campari,EE-,50
566,Pirelli & C.,EE-,50
567,Banca MPS,E+,37
568,Luxottica,EE-,50
569,Yoox,EE-,50
570,World Duty Free,E+,37
571,UnipolSai,E,25
572,UniCredit,EE+,75
573,UBI Banca,EE,62
574,Tod's,E+,37
575,Terna,E,25
576,Tenaris,E+,37
577,Telecom Italia,EE-,50
578,STMicroelectronics,EE,62
579,Snam Rete Gas,EE-,50
580,Salvatore Ferragamo,E,25
581,Saipem,EE,62
582,Prysmian,EE,62
583,Moncler,PENDING,-1
584,Banca Mediolanum,E-,12
585,Mediobanca,E+,37
586,Mediaset,E-,12
587,Luxottica,EE-,50
588,Intesa San Paolo,EE-,50
589,Gtech,E-,12
590,Generali,EE,62
591,Exor,E,25
592,ENI,EEE-,87
593,Enel Green Power,EE,62
594,Enel,EE+,75
595,CNH Industrial,E,25
596,Campari,EE-,50
597,Buzzi Unicem,E,25
598,Banco Popolare,EE,62
599,Banca Popolare Milano,EE-,50
600,Banca Popolare Emilia Romagna,EE,62
601,Banca MPS,EE-,50
602,Azimut Holding,EE,62
603,Autogrill,E,25
604,Atlantia,E,25
605,A2A,EE-,50
606,Banca MPS,EE-,50
607,FCA,E,25
608,Finmeccanica,EE-,50
609,Saipem,EE,62
610,Pirelli & C.,E+,37
611,DiaSorin,EE-,50
612,Finmeccanica,PENDING,-1
613,A2A,EE-,50
614,CNH Industrial,E+,37
615,FCA,E+,37
616,Saipem,EE+,75
617,Prysmian,EE,62
