,category_link-href,company,rating,sd_rating
2565,https://directory.goodonyou.eco/categories/shoes,Trouvé,Rated : Not Good Enough,25
2566,https://directory.goodonyou.eco/categories/bags,Rip Curl,Rated : Not Good Enough,25
2567,https://directory.goodonyou.eco/categories/shoes,WANT Les Essentiels,Rated : Not good enough,25
2568,https://directory.goodonyou.eco/categories/shoes,Meemoza,Rated : Good,75
2569,https://directory.goodonyou.eco/categories/tops,Osei-duro,Rated : Good,75
2570,https://directory.goodonyou.eco/categories/bags,Massimo Dutti,Rated : It's a start,50
2571,https://directory.goodonyou.eco/categories/dresses,Oshadi,Rated : It's a start,50
2572,https://directory.goodonyou.eco/categories/dresses,Space Between,Rated : Great,100
2573,https://directory.goodonyou.eco/categories/swimwear,Cyrillus,Rated : We avoid,0
2574,https://directory.goodonyou.eco/categories/bags,Celine,Rated : Not good enough,25
2575,https://directory.goodonyou.eco/categories/bags,Common Projects,Rated : Not good enough,25
2576,https://directory.goodonyou.eco/categories/basics,DANNIJO,Rated : Not good enough,25
2577,https://directory.goodonyou.eco/categories/accessories,VEERAH,Rated : It's a start,50
2578,https://directory.goodonyou.eco/categories/tops,Trenery,Rated : Good,75
2579,https://directory.goodonyou.eco/categories/swimwear,Subdued,Rated : We avoid,0
2580,https://directory.goodonyou.eco/categories/basics,Gestuz,Rated : Not good enough,25
2581,https://directory.goodonyou.eco/categories/knitwear,Dorsu,Rated : Great,100
2582,https://directory.goodonyou.eco/categories/denim,American Apparel,Rated : It's a start,50
2583,https://directory.goodonyou.eco/categories/accessories,Spalding,Rated : It's a start,50
2584,https://directory.goodonyou.eco/categories/dresses,Winter Water Factory,Rated : Great,100
2585,https://directory.goodonyou.eco/categories/dresses,Kings of Indigo,Rated : Good,75
2586,https://directory.goodonyou.eco/categories/tops,Señor Seagull,Rated : Good,75
2587,https://directory.goodonyou.eco/categories/denim,Zella,Rated : Not Good Enough,25
2588,https://directory.goodonyou.eco/categories/knitwear,Carmina Campus,Rated : Good,75
2589,https://directory.goodonyou.eco/categories/denim,Nanushka,Rated : Not good enough,25
2590,https://directory.goodonyou.eco/categories/denim,Iceberg,Rated : Not good enough,25
2591,https://directory.goodonyou.eco/categories/bags,Desigual,Rated : Not good enough,25
2592,https://directory.goodonyou.eco/categories/shoes,Robert Clergerie,Rated : Not good enough,25
2593,https://directory.goodonyou.eco/categories/swimwear,Speedo,Rated : Not good enough,25
2594,https://directory.goodonyou.eco/categories/accessories,Know The Origin,Rated : Good,75
2595,https://directory.goodonyou.eco/categories/shoes,Clarks,Rated : Not Good Enough,25
2596,https://directory.goodonyou.eco/categories/accessories,Reef,Rated : It's a start,50
2597,https://directory.goodonyou.eco/categories/basics,Nautica,Rated : It's a start,50
2598,https://directory.goodonyou.eco/categories/denim,Wrangler,Rated : It's a start,50
2599,https://directory.goodonyou.eco/categories/denim,Cache Cache,Rated : Not good enough,25
2600,https://directory.goodonyou.eco/categories/basics,Supré,Rated : It's a start,50
2601,https://directory.goodonyou.eco/categories/denim,Chelsea28,Rated : Not Good Enough,25
2602,https://directory.goodonyou.eco/categories/activewear,Bras N Things,Rated : We avoid,0
2603,https://directory.goodonyou.eco/categories/knitwear,Seidensticker,Rated : Not good enough,25
2604,https://directory.goodonyou.eco/categories/knitwear,Hema,Rated : Not good enough,25
2605,https://directory.goodonyou.eco/categories/accessories,UNIFORME,Rated : It's a start,50
2606,https://directory.goodonyou.eco/categories/plus-size,Pansy,Rated : Great,100
2607,https://directory.goodonyou.eco/categories/tops,Jackalo,Rated : Great,100
2608,https://directory.goodonyou.eco/categories/activewear,Warner's,Rated : Not good enough,25
2609,https://directory.goodonyou.eco/categories/dresses,FTLA Apparel,Rated : Good,75
2610,https://directory.goodonyou.eco/categories/tops,TALA,Rated : Good,75
2611,https://directory.goodonyou.eco/categories/sleepwear,Greenfibres,Rated : Good,75
2612,https://directory.goodonyou.eco/categories/swimwear,Camaïeu,Rated : We avoid,0
2613,https://directory.goodonyou.eco/categories/knitwear,Scotch & Soda,Rated : Not Good Enough,25
2614,https://directory.goodonyou.eco/categories/swimwear,Mara Hoffman,Rated : Good,75
2615,https://directory.goodonyou.eco/categories/accessories,Nomadic State of Mind,Rated : Good,75
2616,https://directory.goodonyou.eco/categories/dresses,Nordstrom,Rated : Not Good Enough,25
2617,https://directory.goodonyou.eco/categories/knitwear,Rubi,Rated : It's a start,50
2618,https://directory.goodonyou.eco/categories/dresses,Komodo,Rated : Good,75
2619,https://directory.goodonyou.eco/categories/dresses,Dorsu,Rated : Great,100
2620,https://directory.goodonyou.eco/categories/shoes,La Redoute,Rated : Not good enough,25
2621,https://directory.goodonyou.eco/categories/outerwear,Witchery,Rated : Good,75
2622,https://directory.goodonyou.eco/categories/accessories,Icebreaker,Rated : Good,75
2623,https://directory.goodonyou.eco/categories/swimwear,Go Sport,Rated : We avoid,0
2624,https://directory.goodonyou.eco/categories/accessories,Converse,Rated : It's a start,50
2625,https://directory.goodonyou.eco/categories/activewear,Bhumi,Rated : Great,100
2626,https://directory.goodonyou.eco/categories/basics,Bobo Choses,Rated : It's a start,50
2627,https://directory.goodonyou.eco/categories/shoes,Kristinit,Rated : It's a start,50
2628,https://directory.goodonyou.eco/categories/denim,Nudie Jeans,Rated : Good,75
2629,https://directory.goodonyou.eco/categories/shoes,Bared Footwear,Rated : Not good enough,25
2630,https://directory.goodonyou.eco/categories/plus-size,Factorie,Rated : It's a start,50
2631,https://directory.goodonyou.eco/categories/bags,O My Bag,Rated : Good,75
2632,https://directory.goodonyou.eco/categories/dresses,Dressarte Paris,Rated : Good,75
2633,https://directory.goodonyou.eco/categories/shoes,Nike,Rated : It's a start,50
2634,https://directory.goodonyou.eco/categories/tops,A.BCH,Rated : Great,100
2635,https://directory.goodonyou.eco/categories/outerwear,Arnsdorf,Rated : Good,75
2636,https://directory.goodonyou.eco/categories/activewear,Hurley,Rated : It's a start,50
2637,https://directory.goodonyou.eco/categories/bags,Zara,Rated : It's a start,50
2638,https://directory.goodonyou.eco/categories/accessories,MONIQUE PÉAN,Rated : Good,75
2639,https://directory.goodonyou.eco/categories/accessories,St. Agni,Rated : It's a start,50
2640,https://directory.goodonyou.eco/categories/tops,Uterqüe,Rated : It's a start,50
2641,https://directory.goodonyou.eco/categories/shoes,Paul Andrew,Rated : Not good enough,25
2642,https://directory.goodonyou.eco/categories/shoes,White Stuff,Rated : Not good enough,25
2643,https://directory.goodonyou.eco/categories/dresses,Toad&Co,Rated : Good,75
2644,https://directory.goodonyou.eco/categories/shoes,Kenzo,Rated : Not good enough,25
