,category-href,company,rating,sd_rating
560,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Pantene,42,42
561,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Bank of Scotland,33,33
562,https://thegoodshoppingguide.com/subject/ice-cream/,Carte D'Or,63,63
563,https://thegoodshoppingguide.com/subject/dishwashers/,Beko,68,68
564,https://thegoodshoppingguide.com/subject/cookers/,Baumatic,91,91
565,https://thegoodshoppingguide.com/subject/ethical-fashion-retailers/,Dorothy Perkins,50,50
566,https://thegoodshoppingguide.com/subject/shampoo-conditioner/,Dove,35,35
567,https://thegoodshoppingguide.com/subject/coffee-shops/,Caffè Ritazza,54,54
568,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,Homebase,68,68
569,https://thegoodshoppingguide.com/subject/baby-food/,Heinz,54,54
570,https://thegoodshoppingguide.com/subject/laundry-detergents/,Surcare,64,64
571,https://thegoodshoppingguide.com/subject/skincare/,Ponds,35,35
572,https://thegoodshoppingguide.com/subject/mobile-phones/,Nokia,79,79
573,https://thegoodshoppingguide.com/subject/skincare/,Olay,42,42
574,https://thegoodshoppingguide.com/subject/breakfast-cereal/,Whole Earth,75,75
575,https://thegoodshoppingguide.com/subject/margarine/,I Can't Believe INB,54,54
576,https://thegoodshoppingguide.com/subject/cat-dog-food/,Paleo Ridge Raw,91,91
577,https://thegoodshoppingguide.com/subject/ethical-toothpaste/,Tom's of Maine,81,81
578,https://thegoodshoppingguide.com/subject/ethical-toothpaste/,Thursday Plantation,73,73
579,https://thegoodshoppingguide.com/subject/make-up/,MAC,42,42
580,https://thegoodshoppingguide.com/subject/all-in-ones/,Olivetti,91,91
581,https://thegoodshoppingguide.com/subject/ethical-banks-building-societies%e2%80%8d%e2%80%8d%e2%80%8d/,Virgin Money,72,72
582,https://thegoodshoppingguide.com/subject/boilers/,Arena,86,86
583,https://thegoodshoppingguide.com/subject/kettles/,Kenwood,77,77
584,https://thegoodshoppingguide.com/subject/ethical-furniture%e2%80%8d%e2%80%8d%e2%80%8d/,Ian Snow,100,100
585,https://thegoodshoppingguide.com/subject/chocolate/,Green & Blacks,42,42
