,directory_link-href,company,rating,sd_rating
111,http://www.corporatecritic.org/companiesatoz/The%20C.aspx,The Scott Trust,13.5,90
112,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Ethical Wares Ltd,12,80
113,http://www.corporatecritic.org/companiesatoz/Skadd.aspx,SolarWorld AG,(10),66
114,http://www.corporatecritic.org/companiesatoz/V.aspx,Vincor International Inc,14,93
115,http://www.corporatecritic.org/companiesatoz/P.aspx,PALLADIUM GROUP HOLDINGS PTY LTD,11.5,76
116,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,EQT International Holdings B.V.,???,-1
117,http://www.corporatecritic.org/companiesatoz/R.aspx,Rexam plc,14,93
118,http://www.corporatecritic.org/companiesatoz/M.aspx,Marks & Spencer Group plc,6,40
119,http://www.corporatecritic.org/companiesatoz/H.aspx,Haribo GmbH & Co. KG,14,93
120,http://www.corporatecritic.org/companiesatoz/Whitt.aspx,Wyeth,5.5,36
121,http://www.corporatecritic.org/companiesatoz/Mio%20T.aspx,MOMA Foods Ltd,???,-1
122,http://www.corporatecritic.org/companiesatoz/E.aspx,Ebico,14,93
123,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,E. Merck oHG,14,93
124,http://www.corporatecritic.org/companiesatoz/Bellw.aspx,BHP Billiton Group,6.5,43
125,http://www.corporatecritic.org/companiesatoz/Specs.aspx,Sun Capital Partners Ltd,11,73
126,http://www.corporatecritic.org/companiesatoz/R.aspx,Risk Capital Partners,14,93
127,http://www.corporatecritic.org/companiesatoz/G.aspx,Getenergy Ltd,14,93
128,http://www.corporatecritic.org/companiesatoz/N.aspx,National Schoolwear Centres,14,93
129,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Earth Aid Group Ltd.,???,-1
130,http://www.corporatecritic.org/companiesatoz/Surya.aspx,SVM Asset Management,6.5,43
131,http://www.corporatecritic.org/companiesatoz/G.aspx,GAM,(14),93
132,http://www.corporatecritic.org/companiesatoz/%C3%89.aspx,Eat Natural Ltd,9.5,63
133,http://www.corporatecritic.org/companiesatoz/Lette.aspx,Little Soap Company Limited,???,-1
134,http://www.corporatecritic.org/companiesatoz/Flowf.aspx,FRANCHI SEEDS 1783,12,80
135,http://www.corporatecritic.org/companiesatoz/Hero.aspx,Hobbycraft Group Limited,5.5,36
136,http://www.corporatecritic.org/companiesatoz/RISO%20.aspx,Rude Health Foods Limited,12.5,83
137,http://www.corporatecritic.org/companiesatoz/J.aspx,JD Wetherspoon plc,7.5,50
138,http://www.corporatecritic.org/companiesatoz/Whitt.aspx,Worton Cottage Industry,14,93
139,http://www.corporatecritic.org/companiesatoz/N.aspx,Nancy Dee Clothing LLP,14,93
